Entity,Code,Year,Per capita energy consumption
Afghanistan,AFG,2022,1111.5725
Albania,ALB,2022,9147.205
Algeria,DZA,2022,16145.337
Angola,AGO,2022,2713.8245
Antigua and Barbuda,ATG,2022,32896.395
Argentina,ARG,2022,22049.938
Armenia,ARM,2022,17722.293
Australia,AUS,2022,63386.535
Austria,AUT,2022,42122.105
Azerbaijan,AZE,2022,20425.451
Bahamas,BHS,2022,31185.008
Bahrain,BHR,2022,161782.95
Bangladesh,BGD,2022,3023.7288
Barbados,BRB,2022,19859.146
Belarus,BLR,2022,33086.91
Belgium,BEL,2022,59651.605
Belize,BLZ,2022,9349.882
Benin,BEN,2022,1841.3295
Bhutan,BTN,2022,20151.467
Bolivia,BOL,2022,8554.576
Bosnia and Herzegovina,BIH,2022,28264.172
Botswana,BWA,2022,12002.065
Brazil,BRA,2022,17744.193
Brunei,BRN,2022,117670.914
Bulgaria,BGR,2022,33606.043
Burkina Faso,BFA,2022,1011.84033
Burundi,BDI,2022,273.35468
Cambodia,KHM,2022,3826.666
Cameroon,CMR,2022,1320.1124
Canada,CAN,2022,102122.42
Cape Verde,CPV,2022,5740.3887
Central African Republic,CAF,2022,275.47107
Chad,TCD,2022,448.06906
Chile,CHL,2022,25750.754
China,CHN,2022,31235.707
Colombia,COL,2022,12123.15
Comoros,COM,2022,2068.1792
Congo,COG,2022,2162.773
Costa Rica,CRI,2022,9135.139
Cote d'Ivoire,CIV,2022,2575.372
Croatia,HRV,2022,23846.066
Cuba,CUB,2022,7764.905
Cyprus,CYP,2022,23790.744
Czechia,CZE,2022,42043.363
Democratic Republic of Congo,COD,2022,363.37082
Denmark,DNK,2022,32903.926
Djibouti,DJI,2022,2925.7346
Dominica,DMA,2022,10770.691
Dominican Republic,DOM,2022,11799.487
East Timor,TLS,2022,1917.6515
Ecuador,ECU,2022,12495.487
Egypt,EGY,2022,9857.579
El Salvador,SLV,2022,6867.6045
Equatorial Guinea,GNQ,2022,15718.9
Eritrea,ERI,2022,864.744
Estonia,EST,2022,46890.336
Eswatini,SWZ,2022,5134.687
Ethiopia,ETH,2022,642.3783
Fiji,FJI,2022,6902.2524
Finland,FIN,2022,57499.42
France,FRA,2022,34796.047
French Guiana,GUF,2022,0
Gabon,GAB,2022,6504.1045
Gambia,GMB,2022,796.3427
Georgia,GEO,2022,17845.229
Germany,DEU,2022,41094.125
Ghana,GHA,2022,3110.591
Greece,GRC,2022,30188.217
Greenland,GRL,2022,47495.1
Grenada,GRD,2022,12408.829
Guatemala,GTM,2022,5353.738
Guinea,GIN,2022,1532.6326
Guinea-Bissau,GNB,2022,685.23444
Guyana,GUY,2022,13575.479
Haiti,HTI,2022,1049.0549
Honduras,HND,2022,5066.2905
Hungary,HUN,2022,27575.229
Iceland,ISL,2022,167531.62
India,IND,2022,7057.1865
Indonesia,IDN,2022,9859.904
Iran,IRN,2022,38985.188
Iraq,IRQ,2022,15429.901
Ireland,IRL,2022,36487.48
Israel,ISR,2022,33816.67
Italy,ITA,2022,29444.67
Jamaica,JAM,2022,11773.948
Japan,JPN,2022,39974.945
Jordan,JOR,2022,9883.87
Kazakhstan,KAZ,2022,40893.367
Kenya,KEN,2022,1609.9459
Kiribati,KIR,2022,2414.8672
Kosovo,OWID_KOS,2022,17638.7
Kuwait,KWT,2022,102111.33
Kyrgyzstan,KGZ,2022,7569.569
Laos,LAO,2022,8552.412
Latvia,LVA,2022,20474.271
Lebanon,LBN,2022,12473.167
Lesotho,LSO,2022,2108.4802
Liberia,LBR,2022,531.1616
Libya,LBY,2022,30359.734
Lithuania,LTU,2022,23098.156
Luxembourg,LUX,2022,59423.344
Madagascar,MDG,2022,544.34326
Malawi,MWI,2022,535.8544
Malaysia,MYS,2022,39068.727
Maldives,MDV,2022,14143.395
Mali,MLI,2022,1268.7509
Malta,MLT,2022,71835.62
Mauritania,MRT,2022,4159.3027
Mauritius,MUS,2022,16850.51
Mexico,MEX,2022,17858.697
Micronesia (country),FSM,2022,4197.099
Moldova,MDA,2022,12261.839
Mongolia,MNG,2022,15471.304
Montenegro,MNE,2022,18506.336
Morocco,MAR,2022,7146.277
Mozambique,MOZ,2022,1720.9512
Myanmar,MMR,2022,2488.8708
Namibia,NAM,2022,6222.074
Nauru,NRU,2022,27801.133
Nepal,NPL,2022,1873.6637
Netherlands,NLD,2022,53288.39
New Caledonia,NCL,2022,63128.047
New Zealand,NZL,2022,45347.203
Nicaragua,NIC,2022,3190.3118
Niger,NER,2022,532.96545
Nigeria,NGA,2022,2319.8962
North Korea,PRK,2022,6909.168
North Macedonia,MKD,2022,16701.213
Norway,NOR,2022,97780.37
Oman,OMN,2022,89754.836
Pakistan,PAK,2022,4017.639
Palestine,PSE,2022,4379.497
Panama,PAN,2022,23285.066
Papua New Guinea,PNG,2022,2572.07
Paraguay,PRY,2022,7732.6597
Peru,PER,2022,10099.025
Philippines,PHL,2022,5010.1567
Poland,POL,2022,30919.512
Portugal,PRT,2022,25206.664
Puerto Rico,PRI,2022,22552.434
Qatar,QAT,2022,195336.34
Romania,ROU,2022,18791.148
Russia,RUS,2022,59257.91
Rwanda,RWA,2022,497.91382
Saint Kitts and Nevis,KNA,2022,24238.496
Saint Lucia,LCA,2022,14172.194
Saint Vincent and the Grenadines,VCT,2022,10512.446
Samoa,WSM,2022,6614.565
Sao Tome and Principe,STP,2022,2571.2017
Saudi Arabia,SAU,2022,97902.695
Senegal,SEN,2022,2558.0488
Serbia,SRB,2022,26257.111
Seychelles,SYC,2022,28729.107
Sierra Leone,SLE,2022,669.458
Singapore,SGP,2022,158521.72
Slovakia,SVK,2022,32867.98
Slovenia,SVN,2022,33377.797
Solomon Islands,SLB,2022,1602.0515
Somalia,SOM,2022,190.72298
South Africa,ZAF,2022,21580.69
South Korea,KOR,2022,69899.45
South Sudan,SSD,2022,620.7486
Spain,ESP,2022,33289.133
Sri Lanka,LKA,2022,4265.6963
Sudan,SDN,2022,1790.3999
Suriname,SUR,2022,18309.988
Sweden,SWE,2022,59279.207
Switzerland,CHE,2022,33835.207
Syria,SYR,2022,4111.719
Taiwan,TWN,2022,56225.938
Tajikistan,TJK,2022,4824.7124
Tanzania,TZA,2022,1187.1716
Thailand,THA,2022,19347.238
Togo,TGO,2022,1295.5344
Tonga,TON,2022,6417.7163
Trinidad and Tobago,TTO,2022,115685.42
Tunisia,TUN,2022,10087.191
Turkey,TUR,2022,22617.557
Turkmenistan,TKM,2022,65250.055
Tuvalu,TUV,2022,0
Uganda,UGA,2022,663.2023
Ukraine,UKR,2022,15074.283
United Arab Emirates,ARE,2022,132096.89
United Kingdom,GBR,2022,29480.258
United States,USA,2022,77627.72
Uruguay,URY,2022,13986.177
Uzbekistan,UZB,2022,16958.777
Vanuatu,VUT,2022,3666.6138
Venezuela,VEN,2022,22898.904
Vietnam,VNM,2022,12976.387
Western Sahara,ESH,2022,1987.7819
Yemen,YEM,2022,893.9548
Zambia,ZMB,2022,1986.8015
Zimbabwe,ZWE,2022,3633.0674